,post_link,comment_count,likes_count,caption,is_video,image_link
7,https://instagram.com/p/CyEfFWRPp-Y/,147,37853,Cat's outta the bag! These newly restored Walt Disney Animation Studios classic shorts are now streaming on #DisneyPlus. #Disney100,FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/386361737_1741580889642417_8430299496059101760_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=109&_nc_ohc=VEXzOQAgQZAAX-JxBSx&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwNzgyNTUzNTQ2Mzc5Mzg2OQ%3D%3D.2-ccb7-5&oh=00_AfC4JAJ3CGCmO9y01yPCEBLaKmhtFBSt0cY_leID9NVADg&oe=652C09BC&_nc_sid=8b3546
8,https://instagram.com/p/CyEKIYtxEGl/,119,46864,"Make broom for this original art honoring 30 years of #HocusPocus. 🧙‍♀️🧙‍♀️🧙‍♀️🧹

Celebrate and stream the movie on #DisneyPlus! #Hallowstream

🎨: @kino_maniac",FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/386465644_292123236967256_8030468979791487055_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=1AZxsxtmceIAX__EiRy&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwNzczMzM5MTM1MzIwMTA2MQ%3D%3D.2-ccb7-5&oh=00_AfBTX0JQqLBdDGgJBHWnPiwYQ4kGe9Cj-kp8CrHwM_lBtg&oe=652CFAEF&_nc_sid=8b3546
10,https://instagram.com/p/Cx-6CDzLux7/,183,40272,"There's always room for one more.

Haunted Mansion is now streaming on @DisneyPlus.",FALSE,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/386307838_280673198144511_665367217931045365_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=QVR-yDs6i6EAX-4zwRl&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwNjI1NTIxMjk1MDkwODAyNw%3D%3D.2-ccb7-5&oh=00_AfAYHL2BYQ7ddJA9igeAkIKTy2X9LKHkMKq9KVk4748jhQ&oe=652C6487&_nc_sid=8b3546
14,https://instagram.com/p/Cx525L9xJbw/,3264,1261650,"Time to mark the calendar. 🗓️

Marvel Studios’ Loki Season 2, an Original series, starts streaming this Thursday at 6PM PT, only on @DisneyPlus.",FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/385049931_824508265881396_7206048436675947825_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=bv6S4vckDN8AX_XQDA1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfASY_HPjYXZAPgZs3tMJuSXcft5VKTOMfiTF5udCl9Ivg&oe=652CE841&_nc_sid=bc0c2c
17,https://instagram.com/p/Cx3EXD_hxmw/,73,17114,Be our 👻ghost👻 and stream to your h̶̶̶e̶̶̶a̶̶̶r̶̶̶t̶̶̶’̶s̶̶̶ haunt’s content. Happy #Hallowstream!,FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/384745744_323924100291453_3970620487030742196_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=109&_nc_ohc=-AvfNW0bObEAX80jSj4&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfATinQVXK92PWNpAFhfw80nrooTrfPJDZYBrQKR8x0Mew&oe=652B6C67&_nc_sid=bc0c2c
18,https://instagram.com/p/Cx2NbUYsW4T/,106,40401,"Pumpkin, spice, and everything n̶i̶c̶e̶ #Hallowstream. 🎃👻🦇

Tutter needs to know: What are YOU streaming first on #DisneyPlus to get into the spirit?",FALSE,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/383210393_323938133623383_2628541106970738434_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=B_pTYV_lC8UAX-Vk_HK&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfCUoVYTlPIqpB894vBQZV5Z4wm3SjjPqDl2XXFLQ6Fx5A&oe=652B8F36&_nc_sid=bc0c2c
21,https://instagram.com/p/CxxtCWGLks-/,375,43766,"He sits. He stays. He shoots. He scores. He’s on #DisneyPlus. 🐕🏀🏈⚽️⚾️🏐

All of these #AirBud movies are coming October 1!",FALSE,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/383971640_852847396556703_7245962295238629608_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=gFLiZtYSHOMAX-QJ5Cu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC7tEQkYyR9wlQRmh_-W5QC23hiLRnD3Mk8vQdZlSO8FQ&oe=652CD02A&_nc_sid=bc0c2c
22,https://instagram.com/p/CxvqtCYRiUs/,39,8155,"Here’s a look at the six new stories coming tomorrow in Season 2 of Disney’s #LaunchpadShorts on #DisneyPlus:

🎥 “Beautiful, FL”
🎥 “Black Belts”
🎥 “The Ghost”
🎥 “Maxine”
🎥 “Project CC”
🎥 “The Roof”",FALSE,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/384166238_972269530744083_6065357401021712645_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=10kR67cV_wMAX_hz9RL&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC_BNlsVr6tRvK34ZgndWnQh1TpqVQ5WMV-iN-A5COu7A&oe=652D1B9E&_nc_sid=bc0c2c
24,https://instagram.com/p/Cxs_Cm4xBiy/,267,22741,"Andrea must decide between becoming a dentist or following her true dream: to pursue music in the same place that her K-pop idols did, Korea. 🎤

#LPOP, an Original series, is now streaming on #DisneyPlus!",FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/384190366_5927475670689129_2028183822197228079_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=109&_nc_ohc=QDEMwGte49sAX9NSrdJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAnN_tQow60l9Yaa3ku5ryabgU4l5toueFk7Q0fTf6IOg&oe=652C00E4&_nc_sid=bc0c2c
31,https://instagram.com/p/Cxd4fO_v8qh/,143,51888,"In our elements. 🔥💧🌱💨

#Elemental is streaming on #DisneyPlus.",FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/381113357_1501180790422746_7174713821319111583_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=KdQRb6iRgfYAX-25_h0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDD3GYIeIP4fADLgVEyjtd35BV0iWJHKDGZHwwz2j3WcA&oe=652B900C&_nc_sid=bc0c2c
