,Post ID,Comments
0,CyEfFWRPp-Y,Great. Can y’all put these shorts in some kind of playlist that can just automatically be played?
1,CyEfFWRPp-Y,Where’s Peter and the Wolf?
2,CyEfFWRPp-Y,We need more of Goofy’s “How to” shorts.
3,CyEfFWRPp-Y,"Give us a play list option, this would be really need to find certain episodes and add them to a play list (especially for the Simpsons 🥰) also pls add Buzz Lightyear Star Command, House of Mouse, Disney Plus for Nintendo Switch!! 🙏🏼"
4,CyEfFWRPp-Y,Loved when these old and new shorts were on House of Mouse. That was a great series that really needs to be added to Disney+ (UK)
5,CyEfFWRPp-Y,Need Runaway Brain and Mickey Mouseworks shorts
6,CyEfFWRPp-Y,Crossing my fingers that we get House of Mouse next 🤞🏼🤞🏼🤞🏼🤞🏼
7,CyEfFWRPp-Y,I have always loved watching these whenever I was having a bad day
8,CyEfFWRPp-Y,Where’s Runaway Brain?
9,CyEfFWRPp-Y,Chips Ahoy just got me laughing out loud 😂😂😂
10,CyEfFWRPp-Y,"Could you add in the future the shorts of bee in the beach,wide open spaces,billposters,Donald’s double trouble, and also the legend of Tarzan series,Aladdin series and house of mouse"
11,CyEfFWRPp-Y,😍
12,CyEfFWRPp-Y,"Wynken, Blynken and Nod! Yes!"
13,CyEfFWRPp-Y,Hooray! 🤩🥰🩷🩷🩷
14,CyEfFWRPp-Y,❤️
15,CyEfFWRPp-Y,Classic 🙌
16,CyEfFWRPp-Y,Ich bin ein Grüsse Disney Fan
17,CyEfFWRPp-Y,一人で家にいて、夫が出張中なので、ちょっと話がしたいです。
18,CyEfFWRPp-Y,gg
19,CyEfFWRPp-Y,"Fun fact: ""When the Cat's Away"" is the only short to depict Mickey and Minnie as actual tiny mice."
20,CyEfFWRPp-Y,I love Mickey mouse ❤️❤️❤️❤️ happy 100 years @disney
21,CyEfFWRPp-Y,❤️ i love @disney ❤️
22,CyEfFWRPp-Y,@lorenahernandezvalenzuela
23,CyEfFWRPp-Y,🥰🥰🥰🥰🥰
