,post_link,comment_count,likes_count,caption,is_video,image_link
20,https://instagram.com/p/CyD4BLvRppW/,157,22146,"daily affirmation courtesy of milton

NEW EPISODES NOW STREAMING",FALSE,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/386465525_997729521395449_5560728687591194695_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=8sTl-d0Qy58AX_ffUph&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCZR0QrPfuQL-UgQdIxcVFVJ0H04mmpF4VoVd3r_4TgGw&oe=652C6DC2&_nc_sid=bc0c2c
21,https://instagram.com/p/CyCN8YSSBIj/,377,218947,rotting on the floor hours,FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/386355501_283050608015025_3153038888431005238_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=109&_nc_ohc=dRu1bLkogZAAX9nkhr8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCmYPq5TIyl_SL5YiocFuS9Scnj-WcW8ltUDolLWzxQDg&oe=652BBE26&_nc_sid=bc0c2c
23,https://instagram.com/p/CyBotnouUZp/,391,52657,SEASON 7 OF SELLING SUNSET. NOV 3RD.,FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/386248541_337648835587317_2534139632649498689_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=109&_nc_ohc=JkFTXNTBhbUAX8AP-qB&edm=APU89FABAAAA&ccb=7-5&oh=00_AfALxChBWQHhG4DSFtOiv036h5fhEOyxD1XDI1xtMhRQ0g&oe=652D261D&_nc_sid=bc0c2c
25,https://instagram.com/p/CyBQrMoPhP7/,638,124887,another british teen show <333333333 EVERYTHING NOW is now streaming,FALSE,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/386651227_711914570977513_781690418775495798_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=WRoEYVbc6ToAX_-yLH3&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfCOxN-U7qSH0V9aLB7l6J2k9X52_k50ZBfJaouDNrgfXw&oe=652BD0F6&_nc_sid=bc0c2c
29,https://instagram.com/p/Cx-3lcWPJOS/,84,55410,"love this journey for her bangs. phoebe dynevor stars in FAIR PLAY, premiering in 2 days",FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/385865025_293214653492116_5568725053782254980_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=Q_rAG1i_pdoAX_2Ipk9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDLjlBI0s_EQdAIVaS7aHd2D_jHAp5hJOMTZzJQZ8OCbQ&oe=652B3E6D&_nc_sid=bc0c2c
31,https://instagram.com/p/Cx-mqHfusCv/,1073,261644,no but fr...,FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/386121467_1021281382545141_6933565182577406734_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=109&_nc_ohc=KnNU_gNqwbIAX_duG0-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCTPJKVdvQeHzecER8fzViWJdmidm_7MT8jDOGC_g-SfA&oe=652BB986&_nc_sid=bc0c2c
36,https://instagram.com/p/Cx6Esx-p2wN/,100,80419,Fair Play —  starring Phoebe Dynevor and Alden Ehrenreich — premieres Friday,FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/385407117_213267845101256_2945357874940267779_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=HLe4L9wLv-UAX8VslFi&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAt5SNIdoxiigritulCzMIMhgTa55brww6_-YG-5GpnBg&oe=652C9C8F&_nc_sid=bc0c2c
38,https://instagram.com/p/Cx4isslua13/,107,49561,He’s just like me fr,FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/385245608_833788555200655_7679462201586767896_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=9XUulFtV5wIAX_UAfZn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBV-x4q3ZQK-U6GmQ8NAD-RW305sDWYKZOglJHS2KNPDw&oe=652CA2D4&_nc_sid=bc0c2c
44,https://instagram.com/p/Cxx6xe9ILMH/,169,65085,netflix has shipped 5.2 billion DVDs over the last 25 years — and here are the most rented movies for nearly every one of those years.,FALSE,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/384771536_708357611333209_5921433510237224921_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=LHifMtbM_ZMAX_jn3Wp&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfC-TGLddiq8vY33SVFyzpDHbxvdxlkhG81-4kRBuxMrRw&oe=652C3440&_nc_sid=bc0c2c
49,https://instagram.com/p/CxvmCilu6ni/,186,81598,"""don't mess with my friends"" is my love language",FALSE,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/383429840_275378231987629_7414826207470830514_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=rZ5yHKZFoXYAX8aUPFp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBMEMUmru5SZ06BMZu1klhmcnQat4Mdh5QbzHqw1kigbg&oe=652CAD0A&_nc_sid=bc0c2c
52,https://instagram.com/p/Cxtd7_UPz5F/,693,251180,"""what's the girl version of the roman empire?""",FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/382940957_354460286904703_4461270217461275954_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=KpCzP5ZAj40AX9htrV4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfArQfhqrg7JmfsGLzu-KWVfmH8ywYiNp5FENNBf5eGTCA&oe=652C0763&_nc_sid=bc0c2c
53,https://instagram.com/p/CxtMpbIJed4/,321,111387,sorry i don’t make the rules,FALSE,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/383763251_707485331420437_7263515016242392567_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=AX43M1ldYY8AX80_V5J&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfBh_UvS6t4alTlRpAngITdXO_NqShhkqgwwwrX4yj3-Dg&oe=652B6F9A&_nc_sid=bc0c2c
56,https://instagram.com/p/CxsqTkRr9Rv/,378,66272,coming in october!!!,FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/383951842_319130497433052_2317604124998742754_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=ODD8V_UCRCUAX8nKkHC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAOZdUe1nTFg6uOgb7wS5NXb_13g3njoK9KLenP3BvYkw&oe=652B41DC&_nc_sid=bc0c2c
59,https://instagram.com/p/CxqkstnvLu9/,101,48763,me in therapy having a break through:,FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/383080678_621441336837340_8235119688189366496_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=noqR5vFod6gAX9xKFtF&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB-q2qpT8X6rXXz3y7i8mCLBU2jr3t2VsxJTxIJtSFlxQ&oe=652B7836&_nc_sid=bc0c2c
65,https://instagram.com/p/Cxn8eVvR7_o/,180,149157,😵‍💫,FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/382313661_1772340313198456_3322700106539507058_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=5FuXqMPPpDUAX9VWyM_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDNw9mEZuqDlmDFbdVcpBCTqTRl1T6y9UAA-KwKTpFxNg&oe=652BCC90&_nc_sid=bc0c2c
69,https://instagram.com/p/CxlTBDnxPgR/,213,60650,🗣️ FOR THE REST OF MY LIFE,FALSE,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/381368641_310273211647738_8703974625506870803_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=Y9Zbyo4O-OoAX8eFwTF&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCJDebd6lutGnBd_Rfyf0G-hCWxwA4A_jROB0Em8xQgng&oe=652CA49E&_nc_sid=bc0c2c
75,https://instagram.com/p/Cxf_51gxws-/,188,62709,this one's to all the daddies,FALSE,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/380691695_1877530392644264_8083374527442664499_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=JGHnvLlF9RMAX9qRSdt&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCrUhLeiXUhrpTW2ubQNNLbJ2dau1FwJqOBlQi6gEKakg&oe=652B6BE6&_nc_sid=bc0c2c
