,Post ID,Comments,,
0,CyD4BLvRppW,"Thank you but I cannot take full credit. This is something my mother would say to me since as long as I can remember. Hope I made you proud, love you mom! 🫶🏽",,
1,CyD4BLvRppW,I have so much more respect for Milton after this episode 👏🏾👏🏾 also the fact Stacy and Izzy are soooo invested in bashing Johnnie this episode is INSANE. The jealousy is crystal clear.,,
2,CyD4BLvRppW,"I loved Milton sooo much when he said this - and the way that he explained his relationship was SO mature, literally worlds above the rest who were all sinking into the drama",,
3,CyD4BLvRppW,STACY is threatened by Johnie because 1)johnie studied and passed exams etc to earn her career 2)Stacy is realizing Izzy aint't it. 3) She's worried Johnie got out of the experiment better off than her 4) she sees izzy all worked up about Johnie,,
4,CyD4BLvRppW,Young Milton is turning out to be the gem lol.,,
5,CyD4BLvRppW,I love the STEM Milton’s analysis of his relationship 😊,,
6,CyD4BLvRppW,Yup! And netflix shows manipulates human perceptions aka via programming which eventually creates realities. 😂✌️,,
7,CyD4BLvRppW,Why do I feel like episode eight was so focused on Izzy and Stacy and Milton and Lydia? I'm really tired of their relationships. It doesn't make any sense.. the boring ass conversations and everybody is so damn emotional on this show. This season is by far not the best one.,,
8,CyD4BLvRppW,Lydia & James final date in the restaurant …. Its the waiter for me!!! 😂🤣☠️🫠,,
9,CyD4BLvRppW,Protect Milton at all costs! He REALLY shined in this episode & I’m rooting for him,,
10,CyD4BLvRppW,The only good thing to come out of this season,,
11,CyD4BLvRppW,WE NEED AN UPDATE ON BRIDGERTON SEASON 3,,
12,CyD4BLvRppW,I want to be like you when i grow up!!!!!!!,,
13,CyD4BLvRppW,PLEASE TELL STACY TO GET AWAY FROM IZZY. HE'S A BALD OPPORTUNIST. Stacy can do so much better. I love Johnie too ... and Izzy was the only reason Stacy and Johnie were feuding! 😢,,
14,CyD4BLvRppW,Milton is the best!!!!!!!!!!!! 🔥🔥👏,,
15,CyD4BLvRppW,MILTON! You made this episode with your maturity while you are the youngest cast member. GOOD FOR YOU. 👏🏼👏🏼👏🏼,,
16,CyD4BLvRppW,Throw the whole season away,,
17,CyD4BLvRppW,🙌,,
18,CyD4BLvRppW,I have a time-sensitive update in my Stories; don’t delay.,,
19,CyD4BLvRppW,#cancelpercy,,
20,CyD4BLvRppW,But for now... #cancelpercy,,
21,CyD4BLvRppW,Milton is emotionless n a child. They won't last long,,
22,CyD4BLvRppW,#cancelpercy #cancelpercy,,
23,CyD4BLvRppW,Izzy is WEIRD. How he spoke to and spoke about Johnnie is so degrading. I don’t know how you guys allowed that. Very disappointing.,,
24,CyD4BLvRppW,"Percy Hynes White has said and done a lot of bad stuff to unpack, but let me sum up some of it: He joked about Ian Connor's r*pe case with the r*pist himself, he is friends with an alt-right white supremacist woman who organised an event with that theme while PHW was filming the Wednesday show, he laughed at incidents where a lot of people have unfortunately passed away, made racist, misogynistic comments...",,
25,CyD4BLvRppW,#cancelpercy #percyhyneswhite,,
26,CyD4BLvRppW,I have amazing ideas for animated television series if you would only give me the opportunity to pitch them I'm sure you will be incredibly surprised.,,
27,CyD4BLvRppW,I hope the news that you fired Percy Hynes White from Wednesday is true!  We don't want to see that man accused of SA and with so much evidence of other bad things against him around the cast girls,,
28,CyD4BLvRppW,"I would love to watch Wednesday again for Halloween but I can't do it seeing a criminal and racist Percy Hynes White there and you reminded me of that by using his face in your TUDUM promo. Please confirm to us if it's true that you fired him and he will not be in the second season
#cancelpercy",,
29,CyD4BLvRppW,"I see a black person on this post. Just to let you know, Percy from Wednesday has compared one with a monkey on his Twitter account, so keeping him in one of your shows would be kinda awkward. Hopefully you give us good news soon about him being out of the show",,
30,CyD4BLvRppW,I’m so proud of my boy 🤜🏻🤛🏻 @jamesmiltonj4,,
31,CyD4BLvRppW,@netflix I need more seasons of Julie and the Phantoms to be happy,,
32,CyD4BLvRppW,@netflix Bring Julie and the Phantoms back ! ❤️😢,,
33,CyD4BLvRppW,@jamesmiltonj4…save yourself.,,
34,CyD4BLvRppW,"@netflix It's time for you to come back with Julie and the Phantoms, I don't understand there are many series with low ratings and you give them more seasons, Julie had a good rating and you canceled them I SIMPLY DON'T UNDERSTAND",,
35,CyD4BLvRppW,"@netflix It's time to give Julie and the phantoms another chance, PLEASE",,
36,CyD4BLvRppW,Can we hook up @izzyzapata_ with @malloryzapata  or are they related?? 😩😂,,
37,CyD4BLvRppW,"@netflix la plataforma que apoya a un r@c1sta y p3dof1lo, depredador que es percy hynes white",,
38,CyD4BLvRppW,😮😮😮,,
39,CyD4BLvRppW,🔥👏,,
40,CyD4BLvRppW,I have a time-sensitive update in my Stories; don’t delay.🔥,,
41,CyD4BLvRppW,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,,
42,CyD4BLvRppW,"Wenn es nass ist, wonach suchst du 🙈😘",,
43,CyD4BLvRppW,No,,
44,CyD4BLvRppW,AMBATUKAM?,,
45,CyD4BLvRppW,💯🎯💯🎯💯🎯💯🎯💯🎯💯,,
46,CyD4BLvRppW,Season 2 of EVERYTHING NOW,,
47,CyD4BLvRppW,👏👏👏👏👏,,
48,CyD4BLvRppW,HES JUST SO…. REAL,,
49,CyD4BLvRppW,Milton is amazing. The way he handled the situation with Uche! They way he reassures Lydia. I love their dynamic. I hope they make it as a couple.,,
